Name,Type,County,Government,Population,Area_Total_sq_mi,Area_Land_sq_mi,Year_Incorporated
Sunderland,Town,Franklin,Open town meeting,3663,14.7,14.2,1714
Wellfleet,Town,Barnstable,Open town meeting,3566,35.4,19.8,1775
West Tisbury,Town,Dukes,Open town meeting,3555,41.8,25.0,1892
Princeton,Town,Worcester,Open town meeting,3495,35.8,35.4,1771
Brookfield,Town,Worcester,Open town meeting,3439,16.6,15.5,1718
Dunstable,Town,Middlesex,Open town meeting,3358,16.7,16.6,1673
Hatfield,Town,Hampshire,Open town meeting,3352,16.8,15.9,1670
Nahant,Town,Essex,Open town meeting,3334,15.5,1.0,1853
Sheffield,Town,Berkshire,Open town meeting,3327,48.6,47.5,1733
Cheshire,Town,Berkshire,Open town meeting,3258,27.5,26.8,1793
Ashby,Town,Middlesex,Open town meeting,3193,24.2,23.8,1767
Millville,Town,Worcester,Open town meeting,3174,5.0,4.9,1916
Berlin,Town,Worcester,Open town meeting,3158,13.1,12.9,1812
Lanesborough,Town,Berkshire,Open town meeting,3038,29.6,28.8,1765
Plympton,Town,Plymouth,Open town meeting,2930,15.1,14.8,1707
Northfield,Town,Franklin,Open town meeting,2866,35.4,34.3,1723
Hardwick,Town,Worcester,Open town meeting,2667,40.8,38.6,1739
Holland,Town,Hampden,Open town meeting,2603,13.1,12.3,1835
Williamsburg,Town,Hampshire,Open town meeting,2504,25.7,25.6,1775
Truro,Town,Barnstable,Open town meeting,2454,26.3,21.1,1709
East Brookfield,Town,Worcester,Open town meeting,2224,10.4,9.8,1920
Bernardston,Town,Franklin,Open town meeting,2102,23.4,23.4,1762
Huntington,Town,Hampshire,Open town meeting,2094,26.8,26.3,1775
Stockbridge,Town,Berkshire,Open town meeting,2018,23.7,22.7,1739
Becket,Town,Berkshire,Open town meeting,1931,47.8,46.1,1765
Hinsdale,Town,Berkshire,Open town meeting,1919,21.7,20.7,1804
Shelburne,Town,Franklin,Open town meeting,1884,23.4,23.2,1775
Leverett,Town,Franklin,Open town meeting,1865,23.0,22.9,1774
Oakham,Town,Worcester,Open town meeting,1851,21.5,21.1,1775
Wales,Town,Hampden,Open town meeting,1832,15.9,15.7,1762
Buckland,Town,Franklin,Open town meeting,1816,19.9,19.7,1779
Conway,Town,Franklin,Open town meeting,1761,37.9,37.7,1775
Phillipston,Town,Worcester,Open town meeting,1726,24.6,24.3,1786
Shutesbury,Town,Franklin,Open town meeting,1717,27.2,26.6,1761
Ashfield,Town,Franklin,Open town meeting,1695,40.3,40.0,1765
Erving,Town,Franklin,Open town meeting,1665,14.4,13.9,1838
Clarksburg,Town,Berkshire,Open town meeting,1657,12.8,12.8,1798
Russell,Town,Hampden,Open town meeting,1643,17.8,17.3,1792
Otis,Town,Berkshire,Open town meeting,1634,38.0,35.6,1773
Westhampton,Town,Hampshire,Open town meeting,1622,27.4,27.2,1778
Whately,Town,Franklin,Open town meeting,1607,20.7,20.2,1771
Colrain,Town,Franklin,Open town meeting,1606,43.4,43.1,1761
Gill,Town,Franklin,Open town meeting,1551,14.8,13.7,1793
Granville,Town,Hampden,Open town meeting,1538,43.0,42.2,1775
New Marlborough,Town,Berkshire,Open town meeting,1528,47.9,46.9,1775
Richmond,Town,Berkshire,Open town meeting,1407,19.0,18.7,1765
Egremont,Town,Berkshire,Open town meeting,1372,18.9,18.7,1775
West Stockbridge,Town,Berkshire,Open town meeting,1343,18.7,18.5,1775
Pelham,Town,Hampshire,Open town meeting,1280,26.5,25.1,1743
Royalston,Town,Worcester,Open town meeting,1250,42.5,41.9,1765
Chester,Town,Hampden,Open town meeting,1228,37.2,36.6,1765
Blandford,Town,Hampden,Open town meeting,1215,53.4,51.6,1741
Chilmark,Town,Dukes,Open town meeting,1212,100.4,19.0,1714
